wavelength (nm),29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023
226,25.863,32.354,46.214,38.274,38.95,131.501,156.247,130.634,74.291,10.598
226.5,25.435,31.679,45.132,37.388,38.037,129.066,153.338,127.875,73.307,10.134
227,24.951,31.057,44.102,36.611,37.229,126.761,150.557,125.427,72.51,9.811
227.5,24.468,30.574,43.106,35.88,36.54,124.71,148.092,123.544,71.92,9.73
228,24.08,30.075,42.326,35.355,35.998,123.066,146.169,122.112,71.666,9.913
228.5,23.719,29.538,41.661,34.945,35.566,121.862,144.705,121.054,71.424,10.247
229,23.332,29.052,41.129,34.595,35.272,121.003,143.53,120.27,71.4,10.696
229.5,22.974,28.651,40.642,34.294,35.054,120.354,142.791,119.703,71.484,11.221
230,22.697,28.25,40.209,34.051,34.814,119.835,141.89,119.176,71.617,11.722
230.5,22.412,27.916,39.788,33.771,34.541,119.095,140.91,118.291,71.477,11.948
231,22.165,27.562,39.245,33.378,34.164,118.084,139.449,117.031,71.096,11.92
231.5,21.924,27.208,38.633,32.889,33.684,116.719,137.655,115.405,70.552,11.642
232,21.652,26.883,38.031,32.398,33.242,115.349,135.871,113.773,70.135,11.385
232.5,21.277,26.512,37.486,31.946,32.843,114.051,134.177,112.356,69.844,11.249
233,20.949,26.087,36.926,31.529,32.445,112.774,132.547,110.844,69.509,11.106
233.5,20.673,25.694,36.393,31.124,32.054,111.37,130.856,109.329,69.062,10.932
234,20.387,25.373,35.837,30.733,31.681,109.908,129.223,107.705,68.608,10.749
234.5,20.169,25.032,35.314,30.407,31.316,108.64,127.795,106.249,68.339,10.712
235,19.944,24.677,34.892,30.103,31.007,107.526,126.422,104.944,68.098,10.771
235.5,19.801,24.421,34.487,29.786,30.715,106.381,125.054,103.668,67.762,10.802
236,19.63,24.153,34.137,29.509,30.418,105.339,123.697,102.366,67.394,10.816
236.5,19.481,23.872,33.766,29.189,30.098,104.2,122.306,101.119,66.961,10.734
237,19.227,23.625,33.414,28.963,29.826,103.211,121.01,99.831,66.567,10.729
237.5,18.971,23.401,33.018,28.657,29.508,102.201,119.581,98.502,66.16,10.694
238,18.728,23.107,32.575,28.318,29.185,101.159,118.1,97.065,65.715,10.616
238.5,18.507,22.851,32.146,28.03,28.918,99.899,116.538,95.599,65.274,10.483
239,18.304,22.555,31.724,27.751,28.61,98.532,114.891,94.065,64.799,10.273
239.5,18.107,22.239,31.359,27.461,28.283,97.134,113.162,92.414,64.305,10.075
240,17.878,21.962,30.993,27.111,27.929,95.472,111.128,90.549,63.642,9.77
240.5,17.732,21.754,30.63,26.771,27.552,93.732,109.009,88.612,62.915,9.465
241,17.586,21.52,30.274,26.501,27.214,92.08,107.038,86.835,62.329,9.302
241.5,17.466,21.262,29.961,26.241,26.952,90.642,105.307,85.46,61.889,9.294
242,17.337,21.112,29.648,26.049,26.691,89.452,103.886,84.209,61.556,9.407
242.5,17.252,21.014,29.323,25.785,26.464,88.534,102.668,83.15,61.317,9.629
243,17.162,20.874,29.095,25.61,26.347,87.868,101.836,82.356,61.214,9.938
243.5,17.005,20.719,28.891,25.509,26.346,87.21,101.08,81.604,61.161,10.239
244,16.833,20.506,28.7,25.377,26.268,86.405,100.042,80.606,60.91,10.333
244.5,16.64,20.298,28.462,25.163,26.041,85.076,98.383,78.898,60.264,10.033
245,16.431,20.113,28.155,24.853,25.711,83.277,96.152,76.665,59.313,9.411
245.5,16.268,19.915,27.837,24.563,25.349,81.343,93.785,74.446,58.37,8.817
246,16.115,19.732,27.519,24.295,25.073,79.589,91.62,72.541,57.615,8.466
246.5,15.975,19.536,27.297,24.056,24.82,78.125,89.867,71.015,57.066,8.366
247,15.83,19.378,27.063,23.838,24.544,76.898,88.436,69.805,56.722,8.465
247.5,15.69,19.201,26.901,23.675,24.378,76.148,87.461,69.063,56.628,8.841
248,15.593,19.01,26.77,23.574,24.311,75.647,86.822,68.578,56.723,9.356
248.5,15.434,18.88,26.626,23.529,24.275,75.232,86.151,68.182,56.867,9.83
249,15.31,18.709,26.437,23.428,24.159,74.639,85.216,67.43,56.837,10.046
249.5,15.176,18.568,26.19,23.232,23.934,73.555,83.824,66.157,56.395,9.838
250,14.981,18.398,25.916,22.955,23.681,72.142,82.049,64.463,55.693,9.372
250.5,14.861,18.235,25.644,22.699,23.402,70.728,80.234,62.728,54.936,8.882
251,14.688,18.082,25.438,22.447,23.181,69.426,78.725,61.26,54.285,8.548
251.5,14.497,17.908,25.25,22.236,22.932,68.246,77.469,60.034,53.762,8.37
252,14.291,17.75,25.069,22.06,22.709,67.278,76.409,59.117,53.444,8.352
252.5,14.193,17.532,24.987,21.948,22.616,66.569,75.726,58.53,53.308,8.54
253,14.087,17.379,24.856,21.854,22.513,65.933,75.072,58.049,53.259,8.76
253.5,13.989,17.294,24.757,21.739,22.426,65.377,74.402,57.683,53.269,8.982
254,13.951,17.228,24.655,21.606,22.355,64.849,73.724,57.234,53.277,9.113
254.5,13.895,17.154,24.507,21.446,22.233,64.128,72.852,56.608,53.099,9.052
255,13.862,17.022,24.389,21.299,22.109,63.167,71.711,55.675,52.694,8.855
255.5,13.786,16.884,24.276,21.152,21.959,62.229,70.599,54.653,52.274,8.581
256,13.62,16.764,24.194,21.043,21.839,61.288,69.671,53.821,51.921,8.402
256.5,13.485,16.633,24.1,20.962,21.737,60.506,68.834,53.109,51.603,8.295
257,13.349,16.495,24.045,20.883,21.64,59.809,68.114,52.485,51.366,8.234
257.5,13.21,16.303,23.975,20.815,21.545,59.119,67.359,51.778,51.026,8.093
258,13.09,16.244,23.82,20.636,21.346,58.316,66.433,50.895,50.545,7.789
258.5,13.025,16.168,23.674,20.432,21.163,57.566,65.419,50.128,50.041,7.512
259,12.99,16.122,23.56,20.255,20.985,57.003,64.662,49.683,49.717,7.423
259.5,12.951,16.059,23.405,20.095,20.802,56.644,64.151,49.48,49.573,7.593
260,13.004,16.113,23.342,20.016,20.73,56.343,63.863,49.468,49.579,7.913
260.5,12.992,16.168,23.25,19.956,20.686,56.315,63.857,49.508,49.727,8.256
261,12.969,16.207,23.186,19.92,20.688,56.269,63.903,49.632,50.017,8.644
261.5,13.011,16.136,23.232,19.921,20.724,56.313,63.969,49.709,50.297,8.935
262,12.978,16.146,23.264,19.989,20.769,56.211,63.975,49.642,50.514,9.128
262.5,12.943,16.139,23.247,19.967,20.797,56.02,63.749,49.432,50.552,9.072
263,13.016,16.192,23.222,19.944,20.804,55.73,63.345,49.083,50.498,8.882
263.5,13.034,16.161,23.189,19.971,20.799,55.444,62.839,48.747,50.383,8.655
264,13.059,16.197,23.242,19.979,20.775,55.11,62.403,48.42,50.222,8.515
264.5,13.04,16.169,23.271,20.022,20.783,54.918,62.125,48.284,50.102,8.445
265,13.032,16.203,23.305,20.054,20.772,54.667,61.872,48.089,49.95,8.369
265.5,13.021,16.168,23.267,20.082,20.716,54.408,61.681,47.848,49.777,8.246
266,12.998,16.184,23.238,20.049,20.665,54.088,61.468,47.697,49.669,8.142
266.5,13.034,16.09,23.306,20.047,20.628,53.83,61.356,47.522,49.502,8.054
267,13.069,16.217,23.319,20.004,20.622,53.519,61.196,47.404,49.34,8.077
267.5,13.162,16.276,23.329,19.887,20.608,53.439,61.152,47.477,49.302,8.149
268,13.29,16.346,23.331,19.873,20.572,53.408,61.13,47.688,49.386,8.25
268.5,13.431,16.412,23.368,19.907,20.586,53.491,61.104,47.89,49.471,8.406
269,13.591,16.506,23.471,19.93,20.638,53.484,60.981,47.987,49.407,8.436
269.5,13.65,16.513,23.532,19.966,20.668,53.401,60.796,48.001,49.321,8.325
270,13.651,16.497,23.587,19.96,20.683,53.236,60.557,47.832,49.162,8.13
270.5,13.635,16.515,23.627,19.991,20.679,53.068,60.405,47.773,49.11,8.004
271,13.572,16.547,23.601,19.996,20.737,52.943,60.426,47.782,49.191,7.989
271.5,13.524,16.495,23.573,19.958,20.748,52.826,60.391,47.737,49.2,8
272,13.529,16.571,23.543,19.865,20.709,52.731,60.336,47.732,49.221,8.041
272.5,13.528,16.586,23.502,19.804,20.637,52.787,60.531,47.93,49.424,8.173
273,13.539,16.673,23.421,19.771,20.561,52.914,60.73,48.252,49.63,8.348
273.5,13.663,16.755,23.407,19.786,20.565,53.215,60.961,48.553,49.832,8.577
274,13.751,16.889,23.394,19.769,20.537,53.355,61.008,48.656,49.898,8.59
274.5,13.837,16.983,23.359,19.749,20.497,53.337,60.934,48.613,49.895,8.491
275,13.94,16.998,23.364,19.72,20.462,53.378,60.894,48.574,49.825,8.355
275.5,13.985,17.01,23.363,19.748,20.45,53.401,60.881,48.629,49.823,8.342
276,13.985,16.872,23.254,19.733,20.439,53.35,60.92,48.661,49.838,8.377
276.5,14.032,16.792,23.169,19.614,20.348,53.267,60.841,48.701,49.787,8.36
277,14.033,16.714,23.156,19.546,20.275,53.248,60.873,48.766,49.805,8.412
277.5,14.009,16.62,23.161,19.495,20.268,53.301,60.953,48.946,49.945,8.501
278,13.94,16.637,23.122,19.444,20.278,53.351,61.02,49.032,50.025,8.594
278.5,13.959,16.647,23.121,19.429,20.284,53.406,61.093,49.147,50.054,8.649
279,13.939,16.716,23.076,19.413,20.247,53.418,61.047,49.066,50.046,8.598
279.5,13.971,16.737,23.024,19.39,20.203,53.423,60.981,49.03,50.022,8.536
280,14.015,16.735,22.969,19.389,20.128,53.43,60.893,48.949,49.936,8.448
280.5,14.013,16.699,22.91,19.383,20.052,53.288,60.744,48.87,49.815,8.386
281,14.072,16.689,22.779,19.323,19.955,53.143,60.592,48.707,49.741,8.317
281.5,14.194,16.733,22.698,19.238,19.901,53.055,60.535,48.627,49.756,8.353
282,14.253,16.72,22.637,19.227,19.882,53.067,60.519,48.645,49.84,8.492
282.5,14.284,16.687,22.615,19.192,19.891,53.017,60.388,48.607,49.947,8.596
283,14.271,16.703,22.587,19.123,19.859,52.867,60.247,48.478,49.963,8.673
283.5,14.283,16.683,22.559,19.041,19.79,52.677,59.981,48.305,49.862,8.679
284,14.271,16.668,22.499,18.97,19.692,52.554,59.675,48.058,49.738,8.664
284.5,14.158,16.635,22.495,18.9,19.61,52.232,59.312,47.74,49.541,8.592
285,14.027,16.576,22.447,18.825,19.468,51.875,58.876,47.307,49.307,8.46
285.5,13.887,16.507,22.424,18.72,19.354,51.403,58.456,46.92,49.081,8.399
286,13.815,16.479,22.356,18.668,19.301,51.111,58.113,46.582,49.006,8.423
286.5,13.806,16.417,22.295,18.601,19.274,50.936,57.889,46.329,49.026,8.575
287,13.766,16.374,22.189,18.545,19.263,50.747,57.582,46.176,49.067,8.705
287.5,13.826,16.396,22.088,18.455,19.234,50.461,57.18,45.864,49.048,8.746
288,13.825,16.333,21.991,18.341,19.157,50.15,56.768,45.487,48.973,8.707
288.5,13.839,16.311,21.907,18.21,19.073,49.782,56.232,44.995,48.825,8.624
289,13.844,16.255,21.833,18.143,18.978,49.386,55.711,44.469,48.558,8.465
289.5,13.729,16.214,21.779,18.1,18.936,48.882,55.239,43.898,48.34,8.319
290,13.604,16.11,21.678,18.055,18.825,48.436,54.689,43.352,48.142,8.21
290.5,13.492,15.968,21.637,17.988,18.796,48.086,54.187,42.929,48.037,8.243
291,13.402,15.836,21.595,17.96,18.756,47.808,53.832,42.568,47.964,8.368
